source,target
32621,17725
141303,155651
140715,152868
32699,32698
141008,151266
140715,152869
142899,152869
140927,153823
141038,154363
141581,157538
32622,3885
32697,3885
3885,32621
32623,32622
32624,32623
32625,32624
32626,32625
32627,32626
32628,32627
17726,32628
32629,32628
32630,32629
32631,32630
32632,32631
32633,32632
32634,32633
32635,32634
32636,32635
32637,32636
177226,32636
177264,32636
32638,32637
32639,32638
32641,32638
32642,32638
32643,32638
32644,32638
32640,32639
32645,32641
32646,32641
177255,32642
177257,32642
177259,32642
177260,32642
177261,32642
32648,32643
32649,32643
177244,32643
177250,32643
189560,32643
32647,32645
177235,32646
32698,32697
177021,94521
152873,140715
152874,140715
152875,140715
152876,140715
154225,141008
157327,141540
157328,141540
152876,142899
163956,142899
163958,142899
163959,142899
194015,142899
32633,149088
140982,150268
176899,150268
176900,150268
140325,151266
140421,151659
152869,152868
176903,152868
152870,152869
152877,152869
140715,152870
142899,152870
158222,152877
153824,153823
140927,153824
141008,154224
177100,154363
141038,154364
177074,155651
177086,155651
177165,155651
177169,155651
155936,155935
155937,155936
177328,155936
177329,155936
177330,155936
177331,155936
177332,155936
177333,155936
189376,155937
157540,157538
177278,157538
177279,157538
177280,157538
141581,157540
158223,158222
193380,158223
153823,158254
154363,158254
177089,158254
177090,158254
177097,158254
177098,158254
142009,160582
141540,169095
169095,169563
169563,170110
176904,176903
176905,176904
190378,177021
177075,177074
177076,177075
177080,177075
177077,177076
177078,177077
177079,177078
177081,177080
177082,177081
177083,177082
177084,177083
177085,177084
177087,177086
158254,177087
177118,177087
177122,177087
177091,177090
177092,177091
177093,177092
177094,177093
177095,177094
177096,177095
177101,177100
177102,177100
177103,177100
177119,177118
177120,177119
177121,177120
177123,177122
177135,177122
177124,177123
177128,177123
177125,177124
177126,177124
177127,177124
177129,177128
177130,177129
177131,177130
177132,177131
177133,177132
177134,177132
177166,177165
177167,177166
177168,177167
177170,177169
177172,177169
177171,177170
177173,177172
177174,177173
177175,177174
177176,177175
177177,177175
177178,177177
177179,177177
177180,177179
177181,177180
177183,177182
177184,177182
177185,177184
177186,177185
177187,177185
177188,177187
177189,177187
177190,177187
177217,177216
177219,177218
177220,177219
177221,177220
177222,177221
177223,177221
177227,177226
177263,177226
177228,177227
177229,177228
177230,177228
177231,177228
177232,177228
177245,177244
177256,177255
177258,177257
177265,177264
169781,177281
177282,177281
177300,177281
177303,177302
177304,177303
177306,177305
177342,177305
155935,177306
177311,177306
177314,177306
177312,177311
177313,177311
177315,177314
177323,177314
177334,177314
177316,177315
177317,177316
177318,177316
177319,177316
177322,177316
177320,177319
192213,177319
192214,177319
177321,177320
177324,177323
177326,177323
177325,177324
177335,177334
177336,177335
177337,177336
158225,193380
149088,194400
177182,194400
194400,194401
32629,155651
155651,32629
151266,140325
154364,141038
157540,141581
160582,142009
152877,140715
3885,32622
32622,32623
32623,32624
32624,32625
32625,32626
32626,32627
32627,32628
32629,32630
32630,32631
32635,32636
32641,32646
32645,32647
32643,32648
32643,32649
3885,32697
32697,32698
151659,140421
152870,140715
153824,140927
150268,140982
154224,141008
169095,141540
152870,142899
194400,149088
152868,152869
152869,152870
140715,152873
140715,152874
140715,152875
140715,152876
142899,152876
152869,152877
158254,153823
153823,153824
141008,154225
158254,154363
177306,155935
155935,155936
155936,155937
141540,157327
141540,157328
157538,157540
152877,158222
158222,158223
193380,158225
177087,158254
142899,163956
142899,163958
142899,163959
169563,169095
170110,169563
177281,169781
150268,176899
150268,176900
152868,176903
176903,176904
176904,176905
94521,177021
155651,177074
177074,177075
177075,177076
177076,177077
177077,177078
177078,177079
177075,177080
177080,177081
177081,177082
177082,177083
177083,177084
177084,177085
155651,177086
177086,177087
158254,177089
158254,177090
177090,177091
177091,177092
177092,177093
177093,177094
177094,177095
177095,177096
158254,177097
158254,177098
154363,177100
177100,177101
177100,177102
177100,177103
177087,177118
177118,177119
177119,177120
177120,177121
177087,177122
177122,177123
177123,177124
177124,177125
177124,177126
177124,177127
177123,177128
177128,177129
177129,177130
177130,177131
177131,177132
177132,177133
177132,177134
177122,177135
155651,177165
177165,177166
177166,177167
177167,177168
155651,177169
177169,177170
177170,177171
177169,177172
177172,177173
177173,177174
177174,177175
177175,177176
177175,177177
177177,177178
177177,177179
177179,177180
177180,177181
194400,177182
177182,177183
177182,177184
177184,177185
177185,177186
177185,177187
177187,177188
177187,177189
177187,177190
32634,177216
177216,177217
32634,177218
177218,177219
177219,177220
177220,177221
177221,177222
177221,177223
32636,177226
177226,177227
177227,177228
177228,177229
177228,177230
177228,177231
177228,177232
32646,177235
32643,177244
177244,177245
32643,177250
32642,177255
177255,177256
32642,177257
177257,177258
32642,177259
32642,177260
32642,177261
177226,177263
32636,177264
177264,177265
32634,177266
157538,177278
157538,177279
157538,177280
32634,177281
177281,177282
177281,177300
32634,177301
32633,177302
177302,177303
177303,177304
32633,177305
177305,177306
177306,177311
177311,177312
177311,177313
177306,177314
177314,177315
177315,177316
177316,177317
177316,177318
177316,177319
177319,177320
177320,177321
177316,177322
177314,177323
177323,177324
177324,177325
177323,177326
155936,177328
155936,177329
155936,177330
155936,177331
155936,177332
155936,177333
177314,177334
177334,177335
177335,177336
177336,177337
177305,177342
155937,189376
32643,189560
177021,190378
177319,192213
177319,192214
158223,193380
142899,194015
194401,194400
32628,17726
32632,32633
32635,32636
32636,32637
32639,32640
32638,32641
32641,32645
32643,32648
32621,3885
32628,32629
32631,32632
32633,32634
32637,32638
32638,32639
32641,32646
32643,32649
32634,32635
32638,32642
32638,32643
32638,32644
32698,32699
152869,140715
153823,140927
151266,141008
152869,142899
154363,141038
157538,141581
152868,140715
155651,141303
17725,32621
140715,152877
141540,157327
141540,157328

