dynasty,office,count
三國,皇后,1
三國吳,主學,1
三國魏,教諭,1
三國魏,知縣,1
中華民國,三等鎮國將軍,1
中華民國,中允,1
中華民國,中書,1
中華民國,中書科中書,4
中華民國,中軍副將,1
中華民國,主事,6
中華民國,九南道,1
中華民國,二等鎮國將軍,4
中華民國,京師大學堂總監督,1
中華民國,佐領,1
中華民國,使日本國大臣,5
中華民國,侍講學士,5
中華民國,侍讀學士,4
中華民國,修撰,2
中華民國,候選道,3
中華民國,內閣中書,1
中華民國,內閣侍讀學士,1
中華民國,內閣學士,4
中華民國,全營翼長,1
中華民國,兵部侍郎,1
中華民國,兵部右侍郎,1
中華民國,兵部武選司員外郎,2
中華民國,兵部車駕司總辦,1
中華民國,刑部郎中,1
中華民國,刑部陜西司主事,1
中華民國,制處大臣,1
中華民國,副使,1
中華民國,副護軍參領,1
中華民國,副都統,3
中華民國,務處,2
中華民國,協副將,2
中華民國,參贊大臣,2
中華民國,右中允,2
中華民國,右春坊右贊善,1
中華民國,司務廳掌印,2
中華民國,司巡檢,1
中華民國,同知,1
中華民國,同考官,83
中華民國,吏部侍郎,2
中華民國,吏部右侍郎,1
中華民國,吏部文選司主事,2
中華民國,吏部文選司員外郎,2
中華民國,吏部文選司掌印,1
中華民國,吏部文選司行走,2
中華民國,吏部稽勳司主事,2
中華民國,吏部稽勳司掌印,1
中華民國,吏部考功司員外郎,1
中華民國,吏部考功司郎中,1
中華民國,吏部郎中,1
中華民國,吏部驗封司主事,1
中華民國,吏部驗封司掌印,1
中華民國,吏部驗封司郎中,1
中華民國,國子監司業,5
中華民國,國子監祭酒,1
中華民國,外務部和會司員外郎,2
中華民國,外務部和會司郎中,1
中華民國,多羅慶郡王,1
中華民國,大將軍,1
中華民國,大臣,21
中華民國,太僕寺卿,5
中華民國,太僕寺少卿,4
中華民國,奉國將軍,1
中華民國,學政,58
中華民國,守護東陵大臣,1
中華民國,守護西陵大臣,1
中華民國,宗人府右宗正,1
中華民國,宗人府左宗正,1
中華民國,宗人府府丞,3
中華民國,官學管學官,4
中華民國,將軍,6
中華民國,專司訓練禁衛軍大臣,1
中華民國,州同知,1
中華民國,巡城御史,9
中華民國,巡撫,3
中華民國,巡視中城監察御史,1
中華民國,工部左侍郎,1
中華民國,工部都水司員外郎,1
中華民國,工部都水司郎中,2
中華民國,左春坊左中允,1
中華民國,左春坊左庶子,1
中華民國,左春坊左贊善,1
中華民國,左翼副都統,1
中華民國,左贊善,1
中華民國,左都御史,1
中華民國,布政使,8
中華民國,布政使銜,1
中華民國,府丞,3
中華民國,府尹,3
中華民國,庫倫辦事大臣,1
中華民國,庶子,1
中華民國,廳同知,1
中華民國,御史,13
中華民國,戶科給事中,1
中華民國,戶部左侍郎,1
中華民國,房事務,1
中華民國,按察使,8
中華民國,按察使銜,5
中華民國,掌司務廳印鑰,1
中華民國,掌衛事大臣,2
中華民國,提學使,1
中華民國,提督,1
中華民國,文選司掌印,1
中華民國,旗副都統,2
中華民國,旗漢軍副都統,9
中華民國,旗漢軍都統,17
中華民國,旗蒙古副都統,14
中華民國,旗蒙古都統,15
中華民國,旗護軍統領,5
中華民國,旗領侍衛內大臣,8
中華民國,會試考官,3
中華民國,檢討,5
中華民國,正白旗護軍統領,1
中華民國,正白旗都統,1
中華民國,正紅旗蒙古副都統,1
中華民國,正藍旗滿洲都統,2
中華民國,正藍旗護軍統領,2
中華民國,正藍旗都統,1
中華民國,正黃旗漢軍副都統,1
中華民國,步軍統領,2
中華民國,步軍統領衙門行走,1
中華民國,水師提督,1
中華民國,滿洲副都統,5
中華民國,火器營事務,2
中華民國,盛京副都統,1
中華民國,監察御使,2
中華民國,監察御史,1
中華民國,直年旗大臣,1
中華民國,直省鄉試磨勘官,3
中華民國,督理街道御史,1
中華民國,督糧道,2
中華民國,知州,6
中華民國,知州銜,1
中華民國,知府,85
中華民國,知府銜,3
中華民國,知縣,18
中華民國,祭酒,2
中華民國,禮科給事中,1
中華民國,禮部主客司主事,1
中華民國,禮部侍郎,1
中華民國,禮部儀制司主事,1
中華民國,禮部儀制司員外郎,1
中華民國,禮部儀制司行走,1
中華民國,禮部右侍郎,1
中華民國,禮部員外郎,1
中華民國,禮部祠祭司郎中,2
中華民國,禮部精膳司郎中,1
中華民國,稅務監督,1
中華民國,稽勳司主事,1
中華民國,稽勳司郎中,1
中華民國,管學官,1
中華民國,管理滿洲火器營大臣,1
中華民國,糧儲道,2
中華民國,糧道,1
中華民國,紅旗滿洲副都統,2
中華民國,編修,77
中華民國,縣知縣,35
中華民國,總族長,1
中華民國,總理行營事務大臣,1
中華民國,總理行營大臣,1
中華民國,總管內務府大臣,1
中華民國,總統大臣,2
中華民國,翼長,1
中華民國,考功司員外郎,1
中華民國,考功司掌印,1
中華民國,衙門內學堂委員,1
中華民國,訓導,1
中華民國,詹事府右春坊右中允,2
中華民國,詹事府右贊善,2
中華民國,護軍統領,2
中華民國,軍副都統,1
中華民國,軍政司正使,2
中華民國,輔國將軍,1
中華民國,辦營務處,1
中華民國,通政使,1
中華民國,通政使司參議,1
中華民國,通政使司通政使,3
中華民國,通政使司通政副使,1
中華民國,道御史,3
中華民國,道監察御史,32
中華民國,郎中,3
中華民國,都統,14
中華民國,鄉試副考官,7
中華民國,鄉試正考官,2
中華民國,鄉試考官,76
中華民國,鎮國公,1
中華民國,鎮總兵,18
中華民國,鑲紅旗漢軍副都統,1
中華民國,鑲藍旗滿洲副都統,1
中華民國,鑲黃旗漢軍副都統,3
中華民國,開廣道,3
中華民國,關監督,1
中華民國,陸軍大臣,1
中華民國,陸軍部右侍郎,2
中華民國,陸軍部尚書,4
中華民國,陸軍部左侍郎,1
中華民國,領事,1
中華民國,領侍衛內大臣,1
中華民國,領隊大臣,1
中華民國,頭等侍衛,2
中華民國,頭等專使大臣,1
中華民國,驍騎校,1
中華民國,驗封司掌印,1
中華民國,鹽法道,4
中華民國,鹽運使,3
中華民國,鹽運使銜,8
五代,三司鹽鐵判官,1
五代,上柱國,9
五代,上輕車都尉,2
五代,上騎都尉,2
五代,丞,1
五代,丞相,2
五代,中大夫,2
五代,中散大夫,1
五代,中書令,18
五代,中書侍郎,6
五代,中書舍人,10
五代,主客員外郎,2
五代,主客郎中,2
五代,主管官告院,1
五代,主簿,2
五代,九寺五監,4
五代,令,10
五代,使,3
五代,使持節某州諸軍事、某州刺史、充某軍節度、某州管內觀察處置等使,6
五代,使相,1
五代,使院,1
五代,侍中,8
五代,侍御史,5
五代,侍衛親軍司馬步軍副都指揮使,1
五代,侍衛親軍司馬步軍都虞候,1
五代,供奉官,5
五代,修文館學士,1
五代,先鋒都指揮使,1
五代,光祿大夫,1
五代,光祿寺少卿,1
五代,兵部侍郎,4
五代,兵部尚書,4
五代,兵部郎中,1
五代,兵馬使,3
五代,兵馬副都部署（總管）,1
五代,兵馬鈐轄,1
五代,内牙指揮使,1
五代,分司西京,1
五代,刑部侍郎,2
五代,刑部員外郎,2
五代,刑部尚書,4
五代,刑部郎中,1
五代,判三司,1
五代,判史館事,1
五代,判度支,1
五代,刺史,13
五代,前行,1
五代,功臣,4
五代,北京留守,1
五代,協律郎,1
五代,卿,2
五代,參軍,4
五代,史館修撰,2
五代,右僕射,3
五代,右千牛,1
五代,右千牛衛大將軍,1
五代,右千牛衛將軍,1
五代,右威衛大將軍,3
五代,右拾遺,1
五代,右散騎常侍,2
五代,右監門衛將軍,1
五代,右補闕,2
五代,右諫議大夫,3
五代,右贊善大夫,1
五代,右金吾衛上將軍,1
五代,右金吾衛將軍,1
五代,右領軍衛上將軍,1
五代,右領軍衛將軍,1
五代,司倉,1
五代,司刑少卿,1
五代,司勲員外郎,1
五代,司勳郎中,1
五代,司封郎中,1
五代,司徒,5
五代,司空,5
五代,司農卿,1
五代,司農寺丞,1
五代,司農寺卿,1
五代,司馬,2
五代,同中書門下平章事,8
五代,同鳳閣鸞臺平章事,1
五代,吏部侍郎,3
五代,吏部員外郎,1
五代,吏部尚書,1
五代,員外郎,2
五代,國公,21
五代,國太夫人,6
五代,國夫人,5
五代,國子監博士,1
五代,國子祭酒,1
五代,國王,5
五代,團練使,3
五代,堂後官,2
五代,大理司直,2
五代,大理寺丞,1
五代,大理寺評事,1
五代,大理少卿,1
五代,大理評事,3
五代,大都督府長史,1
五代,大長公主,1
五代,天官侍郎,1
五代,太中大夫,1
五代,太保,8
五代,太傅,9
五代,太僕卿,1
五代,太僕寺丞,1
五代,太僕少卿,2
五代,太子典膳丞,1
五代,太子右內率府率,1
五代,太子右衛率府副率,1
五代,太子太保,4
五代,太子太傅,4
五代,太子太師,4
五代,太子少保,2
五代,太子少師,2
五代,太子左清道率府率,1
五代,太子洗馬,2
五代,太子率更令,1
五代,太子舍人,3
五代,太子賓客,1
五代,太子贊善大夫,1
五代,太子通事舍人,1
五代,太尉,6
五代,太師,19
五代,太常丞,2
五代,太常博士,1
五代,太常卿,1
五代,太常寺奉禮郎,1
五代,安撫使,1
五代,安撫使司,1
五代,官告院,2
五代,宮苑使,1
五代,宰相,1
五代,封駁司,1
五代,將仕郎,4
五代,將軍,1
五代,小吏,1
五代,少尹,6
五代,少府監,1
五代,少府監丞,1
五代,少府監監,1
五代,尚書令,5
五代,尚書右丞相,1
五代,尚書右僕射,1
五代,尚書左僕射,1
五代,尚書省兵部侍郎,1
五代,尚書省兵部職方司員外郎,2
五代,尚書省刑部刑部司郎中,2
五代,尚書省右丞,2
五代,尚書省右司郎中,1
五代,尚書省左丞,1
五代,尚書省左司員外郎,1
五代,尚書省左司郎中,1
五代,尚書省戶部侍郎,1
五代,尚書省戶部尚書,1
五代,尚書省戶部戶部司郎中,1
五代,尚食副使,1
五代,屯田員外郎,1
五代,屯田郎中,1
五代,州別駕,5
五代,州刺史,50
五代,州司倉參軍,1
五代,州司戶參軍事,1
五代,州司馬,2
五代,州團練使,1
五代,州留後,1
五代,州縣佐吏,1
五代,州長史,3
五代,巡檢,1
五代,巡檢使,1
五代,巡省大使,1
五代,工部侍郎,1
五代,左僕射,3
五代,左千牛衛上將軍,1
五代,左千牛衛將軍,5
五代,左右千牛衛將軍,1
五代,左右金吾衛將軍,1
五代,左司員外郎,1
五代,左屯衛將軍,1
五代,左拾遺,1
